county,sitename,aqi,空气品质
基隆市,基隆,27,良好
新北市,汐止,26,良好
新北市,萬里,29,良好
新北市,新店,28,良好
新北市,土城,27,良好
新北市,板橋,22,良好
新北市,新莊,24,良好
新北市,菜寮,24,良好
新北市,林口,23,良好
新北市,淡水,29,良好
臺北市,士林,27,良好
臺北市,中山,24,良好
臺北市,萬華,24,良好
臺北市,古亭,27,良好
臺北市,松山,25,良好
臺北市,大同,42,良好
桃園市,桃園,34,良好
桃園市,大園,31,良好
桃園市,觀音,45,良好
桃園市,平鎮,59,普通
桃園市,龍潭,71,普通
新竹縣,湖口,53,普通
新竹縣,竹東,43,良好
新竹市,新竹,57,普通
苗栗縣,頭份,75,普通
苗栗縣,苗栗,63,普通
苗栗縣,三義,48,良好
臺中市,豐原,44,良好
臺中市,沙鹿,19,良好
臺中市,大里,25,良好
臺中市,忠明,19,良好
臺中市,西屯,32,良好
彰化縣,彰化,28,良好
彰化縣,線西,34,良好
彰化縣,二林,22,良好
南投縣,南投,18,良好
雲林縣,斗六,16,良好
雲林縣,崙背,21,良好
嘉義縣,新港,25,良好
嘉義縣,朴子,30,良好
雲林縣,臺西,29,良好
嘉義市,嘉義,26,良好
臺南市,新營,26,良好
臺南市,善化,27,良好
臺南市,安南,25,良好
臺南市,臺南,25,良好
高雄市,美濃,27,良好
高雄市,橋頭,24,良好
高雄市,仁武,27,良好
高雄市,鳳山,24,良好
高雄市,大寮,16,良好
高雄市,林園,,
高雄市,楠梓,23,良好
高雄市,左營,28,良好
高雄市,前金,24,良好
高雄市,前鎮,24,良好
高雄市,小港,56,普通
屏東縣,屏東,27,良好
屏東縣,潮州,27,良好
屏東縣,恆春,25,良好
臺東縣,臺東,23,良好
花蓮縣,花蓮,23,良好
臺北市,陽明,28,良好
宜蘭縣,宜蘭,31,良好
宜蘭縣,冬山,27,良好
新北市,三重,28,良好
桃園市,中壢,58,普通
南投縣,竹山,19,良好
新北市,永和,25,良好
高雄市,復興,25,良好
南投縣,埔里,13,良好
連江縣,馬祖,44,良好
金門縣,金門,20,良好
澎湖縣,馬公,30,良好
臺東縣,關山,24,良好
雲林縣,麥寮,26,良好
新北市,富貴角,31,良好
彰化縣,大城,25,良好
彰化縣,彰化(員林),28,良好
高雄市,高雄(湖內),22,良好
臺南市,臺南(麻豆),24,良好
桃園市,桃園(三民),43,良好
新北市,新北(樹林),46,良好
屏東縣,屏東(枋山),27,良好
